RUT,Nombre de la Sociedad,Código SAP,RUT dueño,Nombre Dueño,Clasificación de Dueño,Unidad de Negocio de la sociedad,Asociada,Contabilidad,Gerente General,Moneda Funcional,Giro,Dirección,País,Fecha de Constitución,Acciones Emitidas,Acciones Invertidas,RUT Matriz,Porcentaje,Clasificacion de Matriz,Empresa
(Extranjera),Bipemar S.A.,1004,,,,Asociaciones Corp,SI,Externa,N/A,URG$,Sin Información,Sin Información,Uruguay,,N/A ,N/A ,96.660.680-0,100,Mayoritario,Salfa Rentas Inmobiliarias S.A.
(Extranjera),Caribbean Marine Contractors S.A. (Panamá),S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,US$,Sin Información,Sin Información,Panamá,,N/A ,N/A ,(Extranjera),100,Mayoritario,Intercoastal Marine inc. (Panamá)
(Extranjera),Consalfa S.A.S.,1153,,,,Asociaciones ICSA,SI,Externa,Edilio Dagnino Macari,COL$,Sin Información,Sin Información,Colombia,,N/A ,N/A ,96.684.600-3,50,Mayoritario,Empresa de Montajes Industriales Salfa Sociedad Anónima
(Extranjera),Consalfa S.A.S.,1153,,,,Asociaciones ICSA,SI,Externa,Juan Manuel Irarrázaval Mena,COL$,Sin Información,Sin Información,Colombia,,N/A ,N/A ,Externo,50,Minoritario,(Externo)
(Extranjera),Consorcio AESA-HV,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),50,Mayoritario,HV Contratistas S.A.
(Extranjera),Consorcio AESA-HV,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,50,,(Externo)
(Extranjera),Consorcio Chinchero,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),45,Minoritario,HV Contratistas S.A.
(Extranjera),Consorcio Chinchero,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,55,,(Externo)
(Extranjera),Consorcio DVC,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),60,Mayoritario,HV Contratistas S.A.
(Extranjera),Consorcio DVC,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,40,,(Externo)
(Extranjera),Consorcio Hospitalario OHL HV,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),50,Mayoritario,HV Contratistas S.A.
(Extranjera),Consorcio Hospitalario OHL HV,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,50,,(Externo)
(Extranjera),Consorcio HV Y GM,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),50,Mayoritario,HV Contratistas S.A.
(Extranjera),Consorcio HV Y GM,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,50,,(Externo)
(Extranjera),Consorcio HV-JJCSC,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),50,Mayoritario,HV Contratistas S.A.
(Extranjera),Consorcio HV-JJCSC,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,50,,(Externo)
(Extranjera),Consorcio JJC-COINSA-HV,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),"33,33",Minoritario,HV Contratistas S.A.
(Extranjera),Consorcio JJC-COINSA-HV,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,"66,67",,(Externo)
(Extranjera),Consorcio JJC-HV,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),50,Mayoritario,HV Contratistas S.A.
(Extranjera),Consorcio JJC-HV,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,50,,(Externo)
(Extranjera),Consorcio Natividad de Chinchero,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),20,Minoritario,HV Contratistas S.A.
(Extranjera),Consorcio Natividad de Chinchero,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,80,,(Externo)
(Extranjera),Consorcio Saneamiento Cajamarca,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),50,Mayoritario,HV Contratistas S.A.
(Extranjera),Consorcio Saneamiento Cajamarca,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,50,,(Externo)
(Extranjera),Consorcio SC-Obrainsa,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),50,Mayoritario,HV Contratistas S.A.
(Extranjera),Consorcio SC-Obrainsa,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,50,,(Externo)
(Extranjera),Consorcio SJT,S/N,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),50,Mayoritario,HV Contratistas S.A.
(Extranjera),Consorcio SJT,S/N,,,,Revisar,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,50,,(Externo)
(Extranjera),Constructora Cheves S.A.C,9147,,,,Asociaciones ICSA,SI,Revisar,Sin información,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,(Extranjera),25,Minoritario,Tecsa Perú S.A.
(Extranjera),Constructora Cheves S.A.C,9147,,,,Asociaciones ICSA,Revisar,Revisar,Juan Manuel Irarrázaval Mena,PEN$,Sin Información,Sin Información,Perú,,N/A ,N/A ,Externo,75,,(Externo)
(Extranjera),Inmobiliaria y Constructora Litoral SAC,1236,,,,ICSA,NO,Interna,Juan Carlos Jara Infante,CL$,Sin Información,Sin Información,Chile,,N/A ,N/A ,77.493.650-5,"99,9999",Mayoritario,Salfa Internacional Ltda.
